
(unity-panel-service:1733): Indicator-Appmenu-CRITICAL **: window_menu_model_new: assertion 'BAMF_IS_APPLICATION(app)' failed

(unity-panel-service:1733): Indicator-Appmenu-CRITICAL **: track_menus: assertion 'IS_WINDOW_MENU(menus)' failed

(unity-panel-service:1733): Indicator-Appmenu-CRITICAL **: menus_destroyed: assertion 'IS_WINDOW_MENU(wm)' failed

(unity-panel-service:1733): Indicator-Appmenu-WARNING **: Already have a menu for window ID 62914589 with path /com/canonical/menu/3C0001D from :1.88, unregistering that one

(unity-panel-service:1733): LIBDBUSMENU-GTK-WARNING **: The child-display variable is set to '(null)' but there's a menu, odd?

(unity-panel-service:1733): LIBDBUSMENU-GTK-WARNING **: The child-display variable is set to '(null)' but there's a menu, odd?

(unity-panel-service:1733): Indicator-Appmenu-WARNING **: Already have a menu for window ID 71303169 with path /com/canonical/menu/4400001 from :1.97, unregistering that one

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 5: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 146: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 147: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 148: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 149: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 150: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 151: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 152: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 153: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 154: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 155: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 156: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 157: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 158: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 159: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 160: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 161: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 162: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 163: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 164: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 165: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 166: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 167: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 168: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 169: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 170: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 171: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 172: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 173: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 174: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 175: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 176: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 177: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 178: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 179: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 180: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 181: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 182: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 183: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 184: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 185: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 186: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 187: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 188: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 189: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 190: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 191: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 192: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 193: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 194: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 195: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 196: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 197: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 198: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 199: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 200: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 201: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 202: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 203: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 204: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 205: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 206: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 207: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 208: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 209: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 210: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 211: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 212: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 213: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 214: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 215: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 216: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 217: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 218: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 219: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 220: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 221: Error getting properties for ID

(unity-panel-service:1733): LIBDBUSMENU-GLIB-WARNING **: Unable to replace properties on 222: Error getting properties for ID

(unity-panel-service:1733): Indicator-Appmenu-CRITICAL **: menus_destroyed: assertion 'IS_WINDOW_MENU(wm)' failed

(unity-panel-service:1733): Indicator-Appmenu-CRITICAL **: menus_destroyed: assertion 'IS_WINDOW_MENU(wm)' failed

(unity-panel-service:1733): Indicator-Appmenu-CRITICAL **: menus_destroyed: assertion 'IS_WINDOW_MENU(wm)' failed

(unity-panel-service:1733): Indicator-Appmenu-CRITICAL **: menus_destroyed: assertion 'IS_WINDOW_MENU(wm)' failed

(unity-panel-service:1733): Indicator-Appmenu-CRITICAL **: menus_destroyed: assertion 'IS_WINDOW_MENU(wm)' failed

(unity-panel-service:1733): Indicator-Appmenu-CRITICAL **: menus_destroyed: assertion 'IS_WINDOW_MENU(wm)' failed

(unity-panel-service:1733): Indicator-Appmenu-CRITICAL **: menus_destroyed: assertion 'IS_WINDOW_MENU(wm)' failed

(unity-panel-service:1733): Indicator-Appmenu-CRITICAL **: menus_destroyed: assertion 'IS_WINDOW_MENU(wm)' failed
